FIPS Code,State,County
17003,ILLINOIS,ALEXANDER
17005,ILLINOIS,BOND
17007,ILLINOIS,BOONE
17009,ILLINOIS,BROWN
17011,ILLINOIS,BUREAU
17015,ILLINOIS,CARROLL
17017,ILLINOIS,CASS
17019,ILLINOIS,CHAMPAIGN
17021,ILLINOIS,CHRISTIAN
17023,ILLINOIS,CLARK
17025,ILLINOIS,CLAY
17027,ILLINOIS,CLINTON
17031,ILLINOIS,COOK
17033,ILLINOIS,CRAWFORD
17037,ILLINOIS,DE KALB
17039,ILLINOIS,DE WITT
17045,ILLINOIS,EDGAR
17047,ILLINOIS,EDWARDS
17049,ILLINOIS,EFFINGHAM
17051,ILLINOIS,FAYETTE
17053,ILLINOIS,FORD
17055,ILLINOIS,FRANKLIN
17057,ILLINOIS,FULTON
17059,ILLINOIS,GALLATIN
17063,ILLINOIS,GRUNDY
17067,ILLINOIS,HANCOCK
17069,ILLINOIS,HARDIN
17071,ILLINOIS,HENDERSON
17073,ILLINOIS,HENRY
17075,ILLINOIS,IROQUOIS
17077,ILLINOIS,JACKSON
17081,ILLINOIS,JEFFERSON
17085,ILLINOIS,JO DAVIESS
17087,ILLINOIS,JOHNSON
17089,ILLINOIS,KANE
17091,ILLINOIS,KANKAKEE
17093,ILLINOIS,KENDALL
17095,ILLINOIS,KNOX
17097,ILLINOIS,LAKE
17101,ILLINOIS,LAWRENCE
17103,ILLINOIS,LEE
17105,ILLINOIS,LIVINGSTON
17113,ILLINOIS,MCLEAN
17115,ILLINOIS,MACON
17117,ILLINOIS,MACOUPIN
17119,ILLINOIS,MADISON
17121,ILLINOIS,MARION
17125,ILLINOIS,MASON
17127,ILLINOIS,MASSAC
17129,ILLINOIS,MENARD
17133,ILLINOIS,MONROE
17139,ILLINOIS,MOULTRIE
17141,ILLINOIS,OGLE
17143,ILLINOIS,PEORIA
17145,ILLINOIS,PERRY
17147,ILLINOIS,PIATT
17153,ILLINOIS,PULASKI
17155,ILLINOIS,PUTNAM
17157,ILLINOIS,RANDOLPH
17161,ILLINOIS,ROCK ISLAND
17163,ILLINOIS,ST CLAIR
17165,ILLINOIS,SALINE
17167,ILLINOIS,SANGAMON
17169,ILLINOIS,SCHUYLER
17171,ILLINOIS,SCOTT
17173,ILLINOIS,SHELBY
17175,ILLINOIS,STARK
17177,ILLINOIS,STEPHENSON
17179,ILLINOIS,TAZEWELL
17181,ILLINOIS,UNION
17183,ILLINOIS,VERMILION
17185,ILLINOIS,WABASH
17189,ILLINOIS,WASHINGTON
17193,ILLINOIS,WHITE
17195,ILLINOIS,WHITESIDE
17197,ILLINOIS,WILL
17201,ILLINOIS,WINNEBAGO
17203,ILLINOIS,WOODFORD
19005,IOWA,ALLAMAKEE
19007,IOWA,APPANOOSE
19009,IOWA,AUDUBON
19011,IOWA,BENTON
19013,IOWA,BLACK HAWK
19015,IOWA,BOONE
19017,IOWA,BREMER
19019,IOWA,BUCHANAN
19021,IOWA,BUENA VISTA
19023,IOWA,BUTLER
19025,IOWA,CALHOUN
19027,IOWA,CARROLL
19029,IOWA,CASS
19031,IOWA,CEDAR
19033,IOWA,CERRO GORDO
19039,IOWA,CLARKE
19041,IOWA,CLAY
19045,IOWA,CLINTON
19047,IOWA,CRAWFORD
19049,IOWA,DALLAS
19051,IOWA,DAVIS
19053,IOWA,DECATUR
19055,IOWA,DELAWARE
19059,IOWA,DICKINSON
19061,IOWA,DUBUQUE
19063,IOWA,EMMET
19065,IOWA,FAYETTE
19069,IOWA,FRANKLIN
19071,IOWA,FREMONT
19073,IOWA,GREENE
19075,IOWA,GRUNDY
19079,IOWA,HAMILTON
19081,IOWA,HANCOCK
19083,IOWA,HARDIN
19087,IOWA,HENRY
19089,IOWA,HOWARD
19091,IOWA,HUMBOLDT
19093,IOWA,IDA
19099,IOWA,JASPER
19101,IOWA,JEFFERSON
19105,IOWA,JONES
19109,IOWA,KOSSUTH
19111,IOWA,LEE
19117,IOWA,LUCAS
19119,IOWA,LYON
19121,IOWA,MADISON
19123,IOWA,MAHASKA
19125,IOWA,MARION
19127,IOWA,MARSHALL
19131,IOWA,MITCHELL
19133,IOWA,MONONA
19135,IOWA,MONROE
19137,IOWA,MONTGOMERY
19139,IOWA,MUSCATINE
19141,IOWA,O BRIEN
19143,IOWA,OSCEOLA
19145,IOWA,PAGE
19147,IOWA,PALO ALTO
19151,IOWA,POCAHONTAS
19153,IOWA,POLK
19155,IOWA,POTTAWATTAMIE
19159,IOWA,RINGGOLD
19163,IOWA,SCOTT
19167,IOWA,SIOUX
19169,IOWA,STORY
19171,IOWA,TAMA
19173,IOWA,TAYLOR
19175,IOWA,UNION
19177,IOWA,VAN BUREN
19179,IOWA,WAPELLO
19185,IOWA,WAYNE
19187,IOWA,WEBSTER
19189,IOWA,WINNEBAGO
19191,IOWA,WINNESHIEK
19195,IOWA,WORTH
19197,IOWA,WRIGHT
22001,LOUISIANA,ACADIA
22007,LOUISIANA,ASSUMPTION
22009,LOUISIANA,AVOYELLES
22015,LOUISIANA,BOSSIER
22017,LOUISIANA,CADDO
22025,LOUISIANA,CATAHOULA
22029,LOUISIANA,CONCORDIA
22035,LOUISIANA,EAST CARROLL
22039,LOUISIANA,EVANGELINE
22041,LOUISIANA,FRANKLIN
22043,LOUISIANA,GRANT
22045,LOUISIANA,IBERIA
22065,LOUISIANA,MADISON
22067,LOUISIANA,MOREHOUSE
22069,LOUISIANA,NATCHITOCHES
22077,LOUISIANA,POINTE COUPEE
22079,LOUISIANA,RAPIDES
22083,LOUISIANA,RICHLAND
22093,LOUISIANA,SAINT JAMES
22097,LOUISIANA,SAINT LANDRY
22099,LOUISIANA,SAINT MARTIN
22101,LOUISIANA,SAINT MARY
22107,LOUISIANA,TENSAS
22113,LOUISIANA,VERMILION
22117,LOUISIANA,WASHINGTON
22121,LOUISIANA,WEST BATON ROUGE
22123,LOUISIANA,WEST CARROLL
28007,MISSISSIPPI,ATTALA
28011,MISSISSIPPI,BOLIVAR
28015,MISSISSIPPI,CARROLL
28017,MISSISSIPPI,CHICKASAW
28021,MISSISSIPPI,CLAIBORNE
28025,MISSISSIPPI,CLAY
28027,MISSISSIPPI,COAHOMA
28033,MISSISSIPPI,DE SOTO
28039,MISSISSIPPI,GEORGE
28049,MISSISSIPPI,HINDS
28051,MISSISSIPPI,HOLMES
28053,MISSISSIPPI,HUMPHREYS
28055,MISSISSIPPI,ISSAQUENA
28057,MISSISSIPPI,ITAWAMBA
28071,MISSISSIPPI,LAFAYETTE
28083,MISSISSIPPI,LEFLORE
28087,MISSISSIPPI,LOWNDES
28089,MISSISSIPPI,MADISON
28093,MISSISSIPPI,MARSHALL
28095,MISSISSIPPI,MONROE
28103,MISSISSIPPI,NOXUBEE
28107,MISSISSIPPI,PANOLA
28109,MISSISSIPPI,PEARL RIVER
28115,MISSISSIPPI,PONTOTOC
28117,MISSISSIPPI,PRENTISS
28119,MISSISSIPPI,QUITMAN
28121,MISSISSIPPI,RANKIN
28123,MISSISSIPPI,SCOTT
28125,MISSISSIPPI,SHARKEY
28133,MISSISSIPPI,SUNFLOWER
28135,MISSISSIPPI,TALLAHATCHIE
28137,MISSISSIPPI,TATE
28139,MISSISSIPPI,TIPPAH
28143,MISSISSIPPI,TUNICA
28145,MISSISSIPPI,UNION
28147,MISSISSIPPI,WALTHALL
28149,MISSISSIPPI,WARREN
28151,MISSISSIPPI,WASHINGTON
28155,MISSISSIPPI,WEBSTER
28161,MISSISSIPPI,YALOBUSHA
28163,MISSISSIPPI,YAZOO
